Estado,Edu_2000_Total,Edu_2000_H,Edu_2000_M,Edu_2010_Total,Edu_2010_H,Edu_2010_M,Edu_2015_Total,Edu_2015_H,Edu_2015_M,Edu_2020_Total,Edu_2020_H,Edu_2020_M,PIB_2010,PIB_2015,PIB_2020
Chihuahua,7.69,7.72,7.66,8.82,8.82,8.83,9.47,9.48,9.45,10.00,9.98,10.02,3.729097123526,9.4246398811,5.005353302286
Ciudad de MÃ©xico,9.61,10.03,9.23,10.54,10.81,10.31,11.12,11.43,10.84,11.48,11.67,11.32,2446910.439,2869792.9079999994,2856971.791
Ciudad de MÃ©xico,9.61,10.03,9.23,10.54,10.81,10.31,11.12,11.43,10.84,11.48,11.67,11.32,17.048788536876,17.309375281067,17.531169757298
Ciudad de MÃ©xico,9.61,10.03,9.23,10.54,10.81,10.31,11.12,11.43,10.84,11.48,11.67,11.32,91.539458285145,107.359584560941,106.87994375101
Ciudad de MÃ©xico,9.61,10.03,9.23,10.54,10.81,10.31,11.12,11.43,10.84,11.48,11.67,11.32,3.572207947714,4.411083382425,-8.805664073631
Ciudad de MÃ©xico,9.61,10.03,9.23,10.54,10.81,10.31,11.12,11.43,10.84,11.48,11.67,11.32,0.618336883258,0.754588469457,-1.561566624748
Ciudad de MÃ©xico,9.61,10.03,9.23,10.54,10.81,10.31,11.12,11.43,10.84,11.48,11.67,11.32,2229200.756,2968856.863,3472435.0629999996
Ciudad de MÃ©xico,9.61,10.03,9.23,10.54,10.81,10.31,11.12,11.43,10.84,11.48,11.67,11.32,17.382737875936,16.965852035781,15.813579504486
Ciudad de MÃ©xico,9.61,10.03,9.23,10.54,10.81,10.31,11.12,11.43,10.84,11.48,11.67,11.32,91.102670554261,103.45195483353,121.542504337594
Ciudad de MÃ©xico,9.61,10.03,9.23,10.54,10.81,10.31,11.12,11.43,10.84,11.48,11.67,11.32,3.267005850376,1.618673072156,3.096315681552
Durango,7.31,7.34,7.28,8.58,8.53,8.62,9.15,9.13,9.17,9.75,9.67,9.82,169268.08399999997,192888.101,189953.176
Durango,7.31,7.34,7.28,8.58,8.53,8.62,9.15,9.13,9.17,9.75,9.67,9.82,1.179371228371,1.163419324842,1.165605269497
Durango,7.31,7.34,7.28,8.58,8.53,8.62,9.15,9.13,9.17,9.75,9.67,9.82,89.534814219003,102.028686566164,100.476249990928
Durango,7.31,7.34,7.28,8.58,8.53,8.62,9.15,9.13,9.17,9.75,9.67,9.82,3.792187085442,-0.04173113548,-6.906662750032
Durango,7.31,7.34,7.28,8.58,8.53,8.62,9.15,9.13,9.17,9.75,9.67,9.82,0.045312054166,-0.000501196298,-0.079773110735
Durango,7.31,7.34,7.28,8.58,8.53,8.62,9.15,9.13,9.17,9.75,9.67,9.82,146770.242,210218.376,267589.06000000006
Durango,7.31,7.34,7.28,8.58,8.53,8.62,9.15,9.13,9.17,9.75,9.67,9.82,1.144476843464,1.201315532206,1.21860907348
Durango,7.31,7.34,7.28,8.58,8.53,8.62,9.15,9.13,9.17,9.75,9.67,9.82,86.708751308368,108.984626273033,140.871063929987
Durango,7.31,7.34,7.28,8.58,8.53,8.62,9.15,9.13,9.17,9.75,9.67,9.82,2.233523128624,5.420906140901,4.574757885846
Guanajuato,6.36,6.59,6.16,7.73,7.84,7.64,8.38,8.47,8.30,9.04,9.10,8.99,517168.681,653849.9260000001,650820.418
Guanajuato,6.36,6.59,6.16,7.73,7.84,7.64,8.38,8.47,8.30,9.04,9.10,8.99,3.603360114752,3.943745806564,3.99361424058
Guanajuato,6.36,6.59,6.16,7.73,7.84,7.64,8.38,8.47,8.30,9.04,9.10,8.99,86.981157677373,109.969194965123,109.459670466224
Guanajuato,6.36,6.59,6.16,7.73,7.84,7.64,8.38,8.47,8.30,9.04,9.10,8.99,7.368823776757,5.445242615556,-7.263517686931
Guanajuato,6.36,6.59,6.16,7.73,7.84,7.64,8.38,8.47,8.30,9.04,9.10,8.99,0.260055338159,0.210149937257,-0.288547866321
Guanajuato,6.36,6.59,6.16,7.73,7.84,7.64,8.38,8.47,8.30,9.04,9.10,8.99,459867.9790000001,721923.1810000001,948128.4940000001
Guanajuato,6.36,6.59,6.16,7.73,7.84,7.64,8.38,8.47,8.30,9.04,9.10,8.99,3.585932991893,4.125507707256,4.317807258686
Guanajuato,6.36,6.59,6.16,7.73,7.84,7.64,8.38,8.47,8.30,9.04,9.10,8.99,88.920307028414,110.411143642157,145.682044966205
Guanajuato,6.36,6.59,6.16,7.73,7.84,7.64,8.38,8.47,8.30,9.04,9.10,8.99,3.931471024372,5.337254655557,5.626477239248
Guerrero,6.10,6.45,5.80,7.27,7.49,7.07,7.80,8.03,7.60,8.37,8.53,8.23,211890.53500000003,229580.566,218674.062
Guerrero,6.10,6.45,5.80,7.27,7.49,7.07,7.80,8.03,7.60,8.37,8.53,8.23,1.476342111506,1.384732732127,1.341844576316
Guerrero,6.10,6.45,5.80,7.27,7.49,7.07,7.80,8.03,7.60,8.37,8.53,8.23,96.837073527319,104.921676422147,99.937244579667
Guerrero,6.10,6.45,5.80,7.27,7.49,7.07,7.80,8.03,7.60,8.37,8.53,8.23,5.292812165989,0.844052270192,-9.169560279845
Guerrero,6.10,6.45,5.80,7.27,7.49,7.07,7.80,8.03,7.60,8.37,8.53,8.23,0.078039215576,0.011959557664,-0.124961054982
Guerrero,6.10,6.45,5.80,7.27,7.49,7.07,7.80,8.03,7.60,8.37,8.53,8.23,186370.38,247813.828,305148.77
Guerrero,6.10,6.45,5.80,7.27,7.49,7.07,7.80,8.03,7.60,8.37,8.53,8.23,1.453268600712,1.416158788477,1.3896571851
Guerrero,6.10,6.45,5.80,7.27,7.49,7.07,7.80,8.03,7.60,8.37,8.53,8.23,87.955972172141,107.941988434683,139.545022948355
Guerrero,6.10,6.45,5.80,7.27,7.49,7.07,7.80,8.03,7.60,8.37,8.53,8.23,3.444800869992,4.934500692331,6.263751939932
Hidalgo,6.66,6.91,6.43,8.10,8.22,7.98,8.72,8.81,8.63,9.37,9.42,9.33,206303.584,258695.052,244145.37000000002
Hidalgo,6.66,6.91,6.43,8.10,8.22,7.98,8.72,8.81,8.63,9.37,9.42,9.33,1.437415167289,1.560338979841,1.498143573
Hidalgo,6.66,6.91,6.43,8.10,8.22,7.98,8.72,8.81,8.63,9.37,9.42,9.33,89.315573918984,111.997555211554,105.69852165638
Hidalgo,6.66,6.91,6.43,8.10,8.22,7.98,8.72,8.81,8.63,9.37,9.42,9.33,5.482358251685,6.430494678324,-10.389911478125
Hidalgo,6.66,6.91,6.43,8.10,8.22,7.98,8.72,8.81,8.63,9.37,9.42,9.33,0.078561168573,0.097280852103,-0.160237349006
Hidalgo,6.66,6.91,6.43,8.10,8.22,7.98,8.72,8.81,8.63,9.37,9.42,9.33,184470.154,289377.79099999997,356338.57500000007
Hidalgo,6.66,6.91,6.43,8.10,8.22,7.98,8.72,8.81,8.63,9.37,9.42,9.33,1.438451123922,1.653680527928,1.622777182019
Hidalgo,6.66,6.91,6.43,8.10,8.22,7.98,8.72,8.81,8.63,9.37,9.42,9.33,89.416844062195,111.860582087979,145.953443638927
Hidalgo,6.66,6.91,6.43,8.10,8.22,7.98,8.72,8.81,8.63,9.37,9.42,9.33,8.094516744202,6.043255886633,4.431560239979
Jalisco,7.52,7.70,7.35,8.78,8.86,8.70,9.25,9.33,9.17,9.90,9.95,9.85,925371.837,1104884.87,1126205.873
Jalisco,7.52,7.70,7.35,8.78,8.86,8.70,9.25,9.33,9.17,9.90,9.95,9.85,6.447505603614,6.66419754676,6.910710985466
Jalisco,7.52,7.70,7.35,8.78,8.86,8.70,9.25,9.33,9.17,9.90,9.95,9.85,90.849329707157,108.473205936869,110.566417285848
Jalisco,7.52,7.70,7.35,8.78,8.86,8.70,9.25,9.33,9.17,9.90,9.95,9.85,6.32558069793,3.525684665561,-7.440385228905
Jalisco,7.52,7.70,7.35,8.78,8.86,8.70,9.25,9.33,9.17,9.90,9.95,9.85,0.403359691583,0.234192683661,-0.512450579782
Jalisco,7.52,7.70,7.35,8.78,8.86,8.70,9.25,9.33,9.17,9.90,9.95,9.85,821289.8389999999,1204768.34,1596000.6410000003
Jalisco,7.52,7.70,7.35,8.78,8.86,8.70,9.25,9.33,9.17,9.90,9.95,9.85,6.404208303394,6.884778329521,7.268237581917
Jalisco,7.52,7.70,7.35,8.78,8.86,8.70,9.25,9.33,9.17,9.90,9.95,9.85,88.752413479815,109.040169950015,141.714821353982
Jalisco,7.52,7.70,7.35,8.78,8.86,8.70,9.25,9.33,9.17,9.90,9.95,9.85,3.881065893078,5.100364014319,4.710612114763
MÃ©xico,8.03,8.39,7.69,9.10,9.33,8.88,9.53,9.77,9.30,10.08,10.25,9.93,1226813.687,1445183.505,1488204.23
MÃ©xico,8.03,8.39,7.69,9.10,9.33,8.88,9.53,9.77,9.30,10.08,10.25,9.93,8.547794308465,8.716734774944,9.132033109969
MÃ©xico,8.03,8.39,7.69,9.10,9.33,8.88,9.53,9.77,9.30,10.08,10.25,9.93,89.866306746796,105.862288252854,109.013633652964
MÃ©xico,8.03,8.39,7.69,9.10,9.33,8.88,9.53,9.77,9.30,10.08,10.25,9.93,7.735453536145,3.058675488577,-5.848280985495
MÃ©xico,8.03,8.39,7.69,9.10,9.33,8.88,9.53,9.77,9.30,10.08,10.25,9.93,0.645385689301,0.26695175699,-0.523266376186
MÃ©xico,8.03,8.39,7.69,9.10,9.33,8.88,9.53,9.77,9.30,10.08,10.25,9.93,1085724.153,1569746.485,1994299.6709999996
MÃ©xico,8.03,8.39,7.69,9.10,9.33,8.88,9.53,9.77,9.30,10.08,10.25,9.93,8.466199514052,8.970485216079,9.082104007982
MÃ©xico,8.03,8.39,7.69,9.10,9.33,8.88,9.53,9.77,9.30,10.08,10.25,9.93,88.499514189069,108.619180856206,134.007122866463
MÃ©xico,8.03,8.39,7.69,9.10,9.33,8.88,9.53,9.77,9.30,10.08,10.25,9.93,3.263299819885,4.930278519842,4.034222628623
MichoacÃ¡n de Ocampo,6.20,6.35,6.08,7.42,7.46,7.38,7.93,7.96,7.90,8.60,8.58,8.61,329767.26,386038.362,397577.17900000006
MichoacÃ¡n de Ocampo,6.20,6.35,6.08,7.42,7.46,7.38,7.93,7.96,7.90,8.60,8.58,8.61,2.297645305082,2.328419887762,2.439643624986
MichoacÃ¡n de Ocampo,6.20,6.35,6.08,7.42,7.46,7.38,7.93,7.96,7.90,8.60,8.58,8.61,91.738098158366,107.392180612626,110.602169155993
MichoacÃ¡n de Ocampo,6.20,6.35,6.08,7.42,7.46,7.38,7.93,7.96,7.90,8.60,8.58,8.61,4.026528552997,1.681240223075,-6.352099177651
MichoacÃ¡n de Ocampo,6.20,6.35,6.08,7.42,7.46,7.38,7.93,7.96,7.90,8.60,8.58,8.61,0.093520709711,0.039726503506,-0.152651469315
MichoacÃ¡n de Ocampo,6.20,6.35,6.08,7.42,7.46,7.38,7.93,7.96,7.90,8.60,8.58,8.61,290183.885,408481.804,560007.706
MichoacÃ¡n de Ocampo,6.20,6.35,6.08,7.42,7.46,7.38,7.93,7.96,7.90,8.60,8.58,8.61,2.262779785625,2.33431322754,2.550292869784
MichoacÃ¡n de Ocampo,6.20,6.35,6.08,7.42,7.46,7.38,7.93,7.96,7.90,8.60,8.58,8.61,87.996572188519,105.813785418559,140.855093194371
MichoacÃ¡n de Ocampo,6.20,6.35,6.08,7.42,7.46,7.38,7.93,7.96,7.90,8.60,8.58,8.61,3.832220717234,2.482930082001,4.648178912194
Morelos,7.74,7.95,7.56,8.90,8.99,8.81,9.30,9.38,9.23,9.84,9.88,9.81,174984.467,187472.397,179752.616
